newspaper,publishing_date,page,article_title,content,notes_id,notes_en
Bintang Timur,1963-03-03,1,BEBERAPA TJATATAN TENTANG LEBARAN TAHUN INI..,"Djakarta 3-3 (BT-Press). KESAN jang diperoleh Wartawan BT Press dalam penindjauannja kekampung2 dalam DCI Djkarta Raya selama 2 hari lebaran jbl, adalah sbb: Bahwa Rakjat jang menetap di kampung2 itu jang langsung merasakan beliban dari kesukaran ekonomi sekarang ini memang telah meratjakan hari sulit ,,idul fitri"" dalam keadaan jang betul2 ,,prihatin"".                       Mahalnja harga kapur dan kalkartim telah membuat sebagian besar rumah mengalami kobotjoran dan atap tengah dibersihkan begitu sadja. Begitupun dirumah2 jang paling sederhana sekalipun  jang pada tahun2 lalu penghuninja berusaha menghiasnja dengan kembang2 aneka warna atay kertas2 kembang serba ragam untuk menjambut hari jang datang ,,setahun sekali"", tapi tahun ini rumah2 tadi berada dalam keadaan polos tanpa hiasan apa2.                                                                                               Djangan tanja harga kembang ketika malam lebaran jang lalu. Satu ikat tertjatat Rp 25 sd Rp 30- perbatang. ,,Beli kembang Rp.100 - tjuma tjukup untuk satu vaas ketjil. Ah enggak tahu deh nak"" keluh seorang ibu.                                                                    Tanpa antar mengantar, Tjiri prihatin jang menandai lebarang tahun ini jang dapat ditjatat pula oleh Wartawan BT. Press, ialah: selain rumah tanpa hiasan, djuga tanpa muntjulnya ,,antaran"" ketetangga2 atau memanggil untuk sekedar ,,ruahan"" dimalam takbiran. Membubungnja harga2 keperluan dapur telah membuat Rakjat dalam mentjiapkan makanan lebaran sekedarnja sadja atau tjukup untuk keluarga doang.                                                                                                                                                        Ia lebaran tahun ini memang kurang warna, namun yak mengurangi keriaan terutama bagi anak2. Suasana telah ditekan oleh keprihatinan Rakjat dalam menghadapi kesukaran ekonomi sekarang ini.                                                                                           Tb2 betja alami patjeklik Djuja tukang2 betal tahun ini ternjata alami pantjeklik jang berat. Kalau pada tahun2 jang lalu betja inilah jang alami panen di hari lebaran dengan taripnja jg terkenal dengan ,,tarip setahun sekali', tapi tahun ini terpaksa harus alami pukulan dari kendaraan2 angkutan lain seperti bemo dan bus2 jang telah dikerahkan kotapradja menjelusuri djalan2. Ucup seorang pengendara betjajang berpangkalan di Djl Matraman ketika ditanja wartawan BT Press hasil jang diperoleh diwaktu lebaran mendjawab dengan nada lemas; ,,Jaah oajah deh pak, Saja tjuma dapat Rp. 500 bersih, kalau dulumah bisa sampai Rp. 800, 0 Rp. 900- bersih. Untuk melandjutkan pengangkutan djarak djauh. Perusahaan Pengangkutan Djakarta telah pula turun tangan, dengan mengerahkan 10 buah bus PPD untuk menumpang2 Djakarta Bandung pp. ",,
Duta Masjarakat,1963-12-07,1,Fakta Bingungkan Polisi Dallas,"DALLAS, Texas, 6-12 (Ant-AFI), - Polisi Dallas hari Rabu menjampaikan sebuah laporan kepada djaksa tinggi kota tsb tentang gerak gerik dan kegiatan2 Jack Ruby, orang jang membunuh Lee Oswald, tersangka pembunuh Kennedy, pada hari terbunuhnja presiden AS itu.                                                                                                                                                                                                                        Sebegitu djauh, salah satu aspek jg menguntungkan mengenai kegiatan2 Rudy pada hari itu tidak hanja dia disebuah gedung, jang djendela2nja banjak jang menghadap gedung2 pengunjung buku2 sekolah Texas, darimana dilepaskan tembakan2 jang menewaskan Kennedy.                                                                                                                                                                                    Suatu ""kebetulan"" lain tlh kenjataan bahwa anggota polisi jang katanja ditembak oleh Oswald setelah peristiwa pembunuhan Kennedy itu, berada disuatu tempat jang sama2 dikenal oleh Ruby maupun Oswald.                                                                                                                                          ""Kebetulan"" jang ketiga terdjadi pada hari Minggu pagi, 2 hari setelah terbunuhnja Kennedy, pada waktu malam Ruby terlihat dimuka gedung Polisi Dallas dan dari djarak jang sangat dekat membunuh Oswald.                                                                                       Saat tertulis indah jang paling memusingkan polisi kota Dallas dan jang mendjadikan mereka bulan2an pers AS. ",""" djarak jang sangat dekat"", ""tertulis indah jang"" berdasarkan interpretasi pribadi",""" djarak jang sangat dekat"", ""tertulis indah jang"" based on personal interpretation"
Bintang Timur,1963-06-25,1,Menteri Sudibjo kepada Kebora: KEBUDAJAAN HARUS BERPRINSIP MENGABDI KEPADA REVOLUSI,"Djakarta, 25-6 (BT) Menteri Sekdjen Front Nasional Sudibjo menandakan bahwa kebudajaan kita haruslah kebudajaan jang berperinsip kebudajaan Manipol. kebudajaan mengabdi kepada revolusi nasional demokratis sebagai persiapan bagi pembangunan Sosialisme Indonesia.                                                                                                                                        Menteri dalam sambutan tertulis dimuka Konferensi Nasional Kebudajaan dan Olahraga (Kebora) Sobat mengatakan pula, kebudajaan dan olahraga bukan sekedar mentjiptakan kebugaran djasmani dan rohani, tapi mempertinggi tingkat kebudajaan dan mendorong daja kreasi kaum buruh dalam segala bidang, sehingga sangat penting artinja bagi peningkatan produksi jang pada dewasa ini mendjadi ,,persoalan nasional jang sangat serius.                                                                                                                                                                                                                                SAMBUTAN WAMPA RUSLAN ABDULGANI, Wampa bidang husus Menteri Penerangan Roeslan Abdulgani dalam sambutan tertulisnja menjatakan pula dibidang kebudajaan dan olahraga sesungguhnja kita tidak bisa luput dari tugas satju, jaitu ikut mendjadi pengemban Ampera. Menurut Menteri Penegasan aktivitas dibidang olahraga dan kebudajaan harus dibiarkan kepada pembentuk watak dari pada bangsa dan harus segaris dan sedjalan dengan 5 kerangka revolusi.                                                                                                                                                                 Sambutan Menteri Olahraga setelah mengutjapkan selamat atas konferensi Kebora dan mentjampaikan penghargaan setinggi2nja maha Sobat. Menteri Meladi mengatakan, dengan usaha ini kaum buruh akan menambah kepada kelengkapan perdjuangan satu kekuatan jang besar manpaatnja, dan memberikan sumbangan jang besar kepada pembangunan olahraga pada chususnja, kepada pembinaan bangsa dan membulatkan tekad dalam melandjutkan revolusi. Menurut Menteri dalam menghadapi tantangan baru jang terus muntjul baik dari dalam negeri maupun luarnegeri haruslah dimiliki satu kesatuan kelengkapan jang berdjiwa dedication of life adalah untuk Indonesia, berlandaskan Pantjasila berpedoman ManipolUsdek serta bersikap tegas anti Imperialisme, Kolonialisme dan jang merupakan satu konsentrasi kekuatan nasional jang progresip revolusioner dari seluruh Rakjat dengan poros Nasakom.                                                                                                                                        Njono Ketua DN Sobai dalam pidato pembukaannja telah menandakan bahwa musuh pertanda jang paling berbahaja dari Rakjat Indonesia ialah kaum imperialis Amerika Serikat. Tugas kita, kata Njono tidak hanja melawan neo-kolonialisme AS dibidang ekonomi dan politik, djuga melawan dibidang kebudajaan dan olahraga. Njono mengharapkan agar soal ini didiskusikan oleh konferensi menurut persoalan kongkritnja.                                                                                                                                  Mengenai bidang film berkata Njono: ""Kita harus menjatakan sikap terhadap Dewan Film sekarang ini, Meningingat kenjataan sekarang bahwa film2 tjiptaan AS meliputi 90% dari peredaran film. Sedang film2 Asia, Afrika, dan Eropa meliputi 9%, film Indonesia sendiri 1%. Dalam hal ini disebabkan politik perfilman Dewan Film. Maka kita meminta dihentikannja Dewan Film terbaru dengan penuh hormat"".                                                                                                                                                                         Untuk melihat kebudajaan Imperialis, kita harus meningkatkan pengetahuan umum kader2 dari tingkat pusat, daerah, dan tjabang2. Dengan aksi2 dan pengetahuan jang tjukup maka kita akan mendjadi kampion melawan kebudajaan imperialis. ",""" tjiptaan"", ""penuh hormat"" berdasarkan interpertasi pribadi",""" tjiptaan"", ""penuh hormat"" based on personal interpretation"
Duta Pantjasila,1959-07-01,3,Negeri Hula² setudju mendjadi negara bagian AS. ke-50,"Dengan majoritet besar sekali rakjat Hawaii menjatakan setudju bahwa kepulauan Hawaii jang sampai sekarang masih merupakan ,,outlying territory"" AS itu dijadikan negara bahagian, jakni negara bahagian AS ke-50. 

Djumlah suara jang sudah terhitung kira2 separohnja, dan dari djumlah ini djelas bahwa lebih dari 90% menjetudjui RUU jang di tandatangani oleh Presiden Eisenhower dalam bulan Maret j.l., 2 bulan setelah Alaska mendjadi negara bagian AS jang ke-49.


(Deretan pulau2 tropika Hawaii letaknja 2.200 mil dari pantai California, mula merupakan keradjaan merdeka, tapi bertjampuг-tangan dengan masalah2 dalam negeri, dan Ratu Liliuo kalani seorang wanita jang tegas sikapnja diturunkan dari tachta sesetelah kasak-kusuk pihak AS di Hawali. Ketjuali terkenal sebagai kepala negara jang tegas pendiriannja, Ratu Liluo kalani terkenal sebagai penjair, dan diantaranja ia mengarang lagu jang populer sampai sekarang: ,,Aloha Oe"".

12 Agustus 1898 Hawaii dengan resmi didjadikan wilajah AS, sebagai suatu ,,territory"". Ratunja jang terachir, Liliuo kalani diturunkan dari techta dalam tahun 1893, dan ia meninggal tgl. 11 November 1917. Jang mempersatukan pulau2 Hawaii mendjadi di satu keradjaan adalah Radja Kamehameha I. Arti Hawaii dizaman sekarang terutama adalah strategis. Pendapatan2nja terutama dari tourisme dan expor nanas dan gula. — red. Ant.)

Hawaii akan mendjadi satu2nja negara bagian AS jang majoritet penduduknja bukan bangsa kulitputih, melainkan ……… peranakan Djepang. Golongan2 besar Jainnja adalah Tionghoa, Hawali Polynesia dan peranakan, keturunan Korea dan hasil pertjampuran darah antara kuning-sawomatang-putih.

Dalam madjlis rendah AS Hawaii akan punja wakil seorang dalam senat 2 orang. Dua bakal tjalon jang sudah tampak sekarang bagi pemilihan dalam bulan Djuli jad, adalah 2 orang Nisei, jakni warganegara AS keturunan Djepang, dan partai jang kuat di Hawali adalah Partai Demokrat.
","""......"" memang dari isi beritanya.","""......"" is indeed from the news content."
Kedaulatan Rakjat,1951-08-06,1,Instruksi Gub. Sudiro: Pembentukan 12 Kabupaten Otonom di Sulawesi Disiapkan,"Terhitung mulai pada tanggal 2 Agustus 51 tugas dan tanggung djawab Pemerintah Daerah Sulawesi Selatan telah diserahkan ..... kepala daerah Patopoi. Demikian keterangan Gubernur Sudiro pada konperensi pers. Ia mengharapkan agar segala pertentangan partai dan kepala2 afdeeling dengan Pemerintah Daerah Sulawesi Selatan sudah selesai. Dari Pemerintah Pusat diharapkan backing berupa suatu peraturan darurat untuk pembekuan maupun pembubaran pemerintahan daerah Sulawesi Selatan.
Karena menurut Gubernur menunggu suatu UUD terlalu makan waktu pandjang. Gubernur telah mengirim instruksi pada seluruh kepala2 afdeeling supaja segera mempersiapkan pembentukan kabupaten2 otonom dan konperensi dikalangan mereka sendiri untuk menjusun pendapat2 dan usul2 mengenai pemberotakan kabupaten2. Pendapat dan usul2 itu akan dibitjarakan dalam suatu konperensi dinas seluruh kepala2 afdeeling jang akan diadakan 13 Agustus jang akan datang. Semua ini akan dipeladjari, kemudian dikirim kepusat oleh Gubernur untuk bahan.
Djuga gubernur telah mengadjukan koordinator Abdulrazak di Sulawesi Selatan dan Kusnodi bekas residen Meaado. Mereka kini ditempatkan sebagai pegawai2 tinggi di-propinsi. Pemerintah daerah Sulawesi Selatan sekarang tinggal mengerdjakan urusan2 hari2 atas nama dan tanggung djawab Gubernur Sulawesi.
Hal ini untuk mendjaga vacuum. Rentjana jang ada sekarang ialah Sulawesi akan terdiri dari 12 kabupaten tapi susunan ini masih akan ditindjau dalam konperensi dinas 13 Agustus jang akan datang.
Makassar akan mendapat status langsung dibawah propinsi jang kedudukannja sama dengan kotapradja besar Surabaja, Semarang Bandung dan lain2nja. Tentang pemilihan umum Gubernur mengatakan masih sulit. Jang penting katanja segera menjusun DPR kabupaten dan kemudian dapat menjelenggarakan pemilihan umum tersebut. Dapat dikabarkan bahwa Gubernur tanggal 20 Agustus jang akan datang akan ke Sulawesi Tengah. -Ant.","""..."" kalimat selanjutnya hilang sehingga tidak dapat diinterpretasikan","""..."" the next sentence is missing so it cannot be interpreted"
Duta Masjarakat,1965-08-28,2,Pertjakapan,"Dahulu memang benar dan diharuskan kita tidak usah tjampur2 tangan urusan jang ada sangkut pautnja dengan pemerintahan. Bahkan sidang lamanja pendirian jang ngerti itu kita pegang teguh. Apa jang bersangkutan dgn pemerintahan kita tidak mau tau, kita tidak merasa ikut memilikinja bahkan setjara spesifik kita sendiri dilakukan usaha2 penghambatan terhadap pekerdjaan kantor2 dan projek2 pemerintahan itu. Ini semua adalah sikap jang kita djalankan dan pegang teguh semasa zaman kolonial. Sekarang bahkan sedjak 20 ahun jl fikiran2 dan pendirian2 jang seperti itu sudah harus dibuang djauh2, sudah harus dikikis habis2 sampai kepada jang paling achir. Sebagai bangsa merdeka, apalagi golongan Islam jang merupakan bagian terbesar dari pada bangsa ini, kita harus mendjadi pelopor disegala bidang kehidupan negara kita. Bukan sadja kita harus mantau terhadap urusan2 pemerintahan, tetapi malah harus memegang peranan terpenting didalamnja, bukan sadja kita harus merasa ikut memiliki harta kekajaan negara kita, tetapi harus merasa sebelumnja pemilik dari pada umumnja itu. Dan bila mana sikap ini kita ambil, maka ada kewadjiban mutlak pada kita untuk mentjurahkan segala perhatian dan usaha guna kepentingan kemadjuan2 bidang2 jg saja maksudkan itu. Kita punja hak penuh untuk mengontrol bagian dari setiap gigi roda pemerintahan kita. Sebutkan apa? Kereta api? Itu milik kita bersama, sebab itu kita berkewadjiban ikut memeliharanja dan mengontrol apakah pekerdja2 disitu mulai jang paling atas sampai bawah sudah melakukan tugasnja dengan baik. ......","""..."" kalimat selanjutnya tidak terbaca.","""..."" the following sentence is unreadable."
Duta Masjarakat,1965-08-28,2,Patajat Rengasdengklok Terima Pandji Veteran,"Dalam rangka hari veteran baru2 ini di Rengasdengklok Menteri Majdjen Sarbini telah datang mengudnjungi Rengasdengklok Daerah pangkal perjuangan dimana dalam kesemapatan itu Menteri Veteran Sarbini ..... Dalam kesempatan itu Menteri telah memberikan beberapa tanda mata dan bantuan lainnya jang meliputi harga puluhan djuta rupiah kepada masjarakat melalui pemerintah Rengasdengklok hadiah dan tanda mata tsb adalah ditudjukan oleh Menteri untuk kepentingan pembangunan Da erah dan kepada Ormas Orpoi -dalam daerah Rengsadingklok Menteri Sarbini dalam rangka kundjungannja itu telah pula berkenan memberikan buah Pantji jang molek kepala pasukan Fatajat Antjab Rengasdengklok dan sebuah Bendera merah putih dan beberapa buku penting kepada MWT/NU Rengasdengklok diterima oleh Ketuanja Tubagus Ibrahim atas, nama para Nahdijin/Nahdijat MWT Rengasdengklok,
Menteri Veteran Majdjen Sarbini dalam kata sambutannja dalam peringatan hari Veteran itu didapan ribuan masjarakat menandaskan bahwa jg bergetar tanpa berdjuang adalah harum.
Selandjutnja Menteri menekankan sebagai sjarat mutlak jang merupakan peranan jang menentukan terudjudnja masjarakat adil dan makmur tidak bisa lalu ketjuali semangat berdjuang jang menjasa dengan dasar persatuan dan kesatuan. Achirnja menteri mendjuruskan kepada kaum itu dalam daerah Rengasdengklok bahwa wanita berdjuang mempunjai landasan jang kuat jaitu mentjontohi hidup dan kehidupan serta perdjuangan dimana telah berdjuang dengan gigihnja dengan semangat kepahlawanan jang tidak mengenai mengarah demikian a.l menteri veteran Majdjen Sarbini","""..."" kalimat selanjutnya tidak terbaca.","""..."" the next sentence is unreadable."
Indonesia Merdeka ,1960-06-17,1,Alarm radioaktivitet serta otomatis ditemukan di djepang,"Suatu sistim alarm radioaktivitet jang seluruhnja serba otomatis, jang dinjatakan sebagal penemuan jang pertama didunia. pada waktu ini telah disalesaikan oleh Lembaga Tenaga Atom Djepang (JAEI), demikian dilaporkan oleh para insinjur JAEI pada hari senin. Sistem baru itu ditempatkan didalam dan pabrik. Tetapi Mura dari lembaga tsb disebelah timur laut. Alarm radioaktivitet jang serba otomatis Itu akan mulai bekerdja pada pertengahan bulan ini,demikian sumber tadi.
Setjare elomatis sistim baru ini akan memberikan isjarat pada perkembangan jang tidak dll dalam radioaktivitet ....... hitam melalui telelypa Isjarat itu tidak hanja akan menundjukkan terdjadinja kebotjoran radiasi didalam pabrik tsb. tapi djuga seluruh kedjatuhan radioaktip Jang diakibatkan dari peledakon 2 nuklir diluar pabrik
Sistim baru ini telah dibuat oleh .......","""..."" kalimat tidak dapat terbaca karena koran terlalu gelap cahayanya","""..."" the sentence cannot be read because the newspaper lighting is too dark"
Indonesia Merdeka,1960-05-26,1,Riwajat Lahirnja Proklamasi 7 mei 1949,"Melingkungi Hula Sulawesi Tengah dan Selatan .. dengan keduduk di Kandangan Padang ...
Brigade C di Sela .. Komandannja P. r-Majoor, melindungi Kotapradja B.masin, Kabupaten Bandjar, Kapuas Sampit dgn keduduk. Bandjarmasin Sei Lulut Berusaha menjampaikan laporan kepada ke Delegasi Pemerintah Mr.M.Roem dalam perundingan dgn Belanda bawah pengawasan Komisi Tiga Negara (KTT)
Perlu kiranja disini dikatakan karena semua dilakukan dgn serba ... maka banjaklah terjadi hal2 jg tidak memuaskan bahkan kadang2 lihat ketidakadilan. Tetapi mau dikata karena keadaan pada waktu dan apa jg dapat dicapai adalah sudah ...  hal jg maksimum karena banjaknja kejadian2 jg menjusul. Berita perletakan sen ... telah diketahui pu ...  bagi gerilja Al RI Div. Pert. Kalimantan jg telah memproklamirkan sebagai dari wilajah pemerintah Republik Indonesia jg berpusat di Jogja dan tentaranja adalah TNI. Dengan demikian sudah tentu ingin dan berkewadjiban untuk mena... nja
Dalam hubungan pelaksanaan gentjatan senjata ini kepala Departemen Urusan Penerangan dhigawis/Lts. mengeluarkan siaran berupa pernjataan jg isinja: Kami tunduk dan taat terhadap putusan Pemerintah Pusat Republik Indonesia tentang gentjatan sendjata jg diperintahkan oleh Panglima Tertinggi. Presiden Republik Indonesia: Pelaksanaannja hanja dapat dilakukan melalui Pemerintah Republik Indonesia jg berpusat di Djokdja dgn pengawasan. Komisi Tiga Negara
Utk mengatur persiapan dlm menghadapi pelaksanaan gentjatan sendjata ditentukan kepala2 Komisi Umum merupakan Komandan setempat jg berkekuasaan penuh.
1. Kepala Komisi Umum Tandjung Amuntai M Hammy AM Kapten. 2. Kepala Komisi Umum Barabai H Abrani S/Majoor. 3. Kepala Komisi Umum Negara Budbagawis Stb. 4 Кераla Komisi Umum Kandangan/Rantau Gt. Aman/Kapten, kemudian diganti Budhigawis merangkap Negara. 5. Kepala komisi Umum Martapura/Bandjar P.rya/Major. Wk. Hasnan Basuki/Lts, kemudian ditetapkan Hasnan Basuki.","""..."" kalimat tidak terbaca karena kepotong ","""..."" sentence is unreadable because it is cut off"
Duta Masjarakat,1965-08-28,2,Dikepung,"Pasukan istimewa AS jang ditempatkan di Duc Cs, di ..., Vietnam Selatan, sedjak Rabu malam telah dikepung oleh pasukan gerilja FPNVS, demikian „AFP Saigon mengabarkan,
... pengepungan itu pasukan gerilja melakukan penembakan mortir terhadap pasukan AS Jang terdjepit itu. Selandjut aja AFP"" mergabarkan, bahwa pasukan FPNVS djuga teah melakukan sergapan terhadap pos Phu Cat di propinsi Định Định. Dalam sergupan terhadap pos Phu Cat itu pasukan FPNVS menggunakan mortir dan sendjata ringan.
","""..."" kata tidak jelas terbaca sehingga sulit untuk diinterpretasikan","""..."" the words are not clearly legible, making them difficult to interpret"
