article_id,newspaper_name,publishing_date,page_number,article_title,transcription_gt,ocr_raw
1,Bintang Timur,1963-03-03,1,DELSY & STRIPS,"MEMBITJARAKAN perkembangan strips atau apa jang disebut ,,komik'' dalam persurat kabaran Indonesia, tidaklah orang bisa melepaskan diri dari membitjarakan pentjipta2nja, baik jang dianggap mempelopori dengan karya2nja jang ditjap baik, atau mendapat penggolongan dan penilaian lain.   ","MEMBITJARAKAN pert
kembangan strips atau apa
jang disebut ,,komik” dalam
persurat kabaran Indonesia,
tidaklah orang bisa melepas
kan diri dari membitjara-
kan pentjipta2nja, baik jang
dianggap mempelopori de-
ngan karya2nja jang ditjap
baik, atau mendapat peng-
golongan dan penilaian lain."
3,Bintang Timur,1963-03-03,1,DELSY & STRIPS,"Karenanja tidaklah dapat dibenarkan djika ada sementara orang tanpa berpikir lebih dalam mentjap begitu sadja semua strips atau komik itu merusak. Memang ada sementara orang jang karena kekurangan pengertiannja, malahan sampai2 merendahkan penciptaan2nja jang sedang berkembang, jg sedang mentjurahkan segenap daja kreasinja, untuk memberikan kemanfaatan jg lebih besar lagi dari karya2nja jang sudah2.     ","Karenanja tidaklah dapat
dibenarkan, djika ada scmen-
tara- orang tanpa berpikir 1e
bih dalam mentjap begitu
sadja.semua strips atau ko-
mik itu merusak. Memang
ada sementara orang jang
karena kekurangan penger-
tiannja, malahan sampai2
merendahkan : pentjipta2nja
jang sedang berkembang, jg
sedang mentjurahkan sege-
nap daja kreasinja, untuk
memberikan kemanfaatan jg
lebih besar lagi dari karya2
nia jang sudah?"
4,Bintang Timur,1963-03-03,1,DELSY & STRIPS,"Diatas ini adalah serentetan sebahagian dari kepala2 tjerita (titel) strips jang telah dikenal oleh masarakat luas sebagai hasil karya. Delsy Sjamsumar, jang telah membangun career-nja serentak sebagai penulis, karikaturis dan pelukis pada beberapa suratkabar2 dan madjalah jang diterbitkan di Medan Padang dan Djakarta sedjak tahun 1952, dan jang terakir sampai sekarang ini sebagai wartawan ""Bintang Timur"".    ","Diatas ini adalah seren-
tetan sebahagian dari kepa-
la2 tjerita (titel) strips jang
telah dikenal oleh masara-
kaf htas sebagai hasil karya:
Delsy Sjamsumar, jang telah
membangun 'career-nja sa
rentak! sebagai penulis, ka-
rikaturis dan-pelukis pada
beberapa suratkabar2 dan
madjalah: jang diterbitkan
di Medan, Padang dan Dja-
karta “sedjaks tahun 1952,
dan jang terakir sampai se-
karang ini sebagai wartawan
Bintang Timur”."
5,Bintang Timur,1963-03-03,1,DELSY & STRIPS,                                                                                                                                              Dan dibawah ini kita tjatatkan pula sebagian dari ,". Dan dibawah 'ini kita tja-
tatkan pula sebagian dari"
6,Bintang Timur,1963-03-03,1,DELSY & STRIPS,"sambutan2 resmi instansi2 pendidikan, Pengadjaran dan Kebudajaan jang telah memberikan sambutan baiknja, atas karya Delsy tetapi tidak luput pula dari kritik-kritik. Tetapi pada umumnja djelas menjatakan, bahwa Delsy dengan karyanja telah menjumbangkan sesuatu jang dianggap bermanfaat, terutama dalam thema karyanja jang sebagian besar telah menghidupkan tokoh2 pahlawan Indonesia dalam gambar dan tjerita. Sambutan2 resmi itu diterima al. :","sambutan2 resmi instansi2
pendidikan, Pengadjaran
dan Kebudajaan jang telah
memberikan sambutan baik-
nja, atas karya Delsy tetapi
tidak luput pula dari kritik-
kritik. “Tetapi pada umum-
nja djelas menjatakan, bah-
wa Dcisy Ucngau- karyauja
telah menjumbangkan sesua
tu jang dianggap berman-
faat, terutama dalam thema
karyanja jang sebagian be-
sar telah menghidupkan to-
koh2 pahlawan Indonesia
dalam gambar dan tjefita.
Sambutan? resmi itu diteri-
ma al.:"
7,Bintang Timur,1963-03-03,1,DELSY & STRIPS,",,Tjerita dan lukisan tjiptaan Delsy Sjamsumar adalah suatu langkah baru dizaman modern ini. Paduan",""",Tjerita dan lukisan tjip-
taan Delsy Sjamsumar adx
lah suatu langkah baru di-
zaman modern inf Paduan"""
8,Bintang Timur,1963-03-03,1,DELSY & STRIPS,"tjerita dan keindahan lukisan sangat menarik pembatja2nja. Bagi murid2 kelas V dan VI sampai kesekolah landjutan djadi batjaan jang amat berfaedah. ,,Demikian surat Kep. Djaw. PP & K prop. Sum Utara bertangga, Djuli 1955 No. A1[20] 167.","tjerita dan keindahan lu-
kisan sangat menarik pem-
batia2nja, Bagi musid2 klas
V dan VI sampai kesekolah
landjutan djadi batjaan jang
amat berfaedah. ,,Demikian
surat Kep. Djaw. PP & K
are ae Utara, pea.
167."
9,Bintang Timur,1963-03-03,1,DELSY & STRIPS,"Dan terhadap kisah2 kepahlawanan hampir setiap daerah, istimewa jang berdjudul ,,Tawan Karang di Bali"" Kepala Djaw. PP & K prop. Nusa Tenggara, Singaradja, Bali, dalam suratnja N0. 448.2 Desember 1955 menjatakan:","Dan terhadap kisah2 ke-
pahlawanan hampir setiap
daerah, istimewa jang. ber-
djudul ,,Tawan Karang di
Bali"" Kepala Djaw. PP & K
prop. Nusa er Singa-
radja, Bali, d suratnja
No. 448.3 Desember 1955
menfatakan:"
10,Bintang Timur,1963-03-03,1,DELSY & STRIPS,'Dengan itu saudara telah berhasil memperkenalkan chususnja kepada generasi,"»Dengan itu saudara telah
berh me enalkan
chususnja k generasi"
12,Bintang Timur,1963-03-03,1,DELSY & STRIPS,"                                                                                                                                                                    Pendapat dan pernjataan2 jang senafas, baik langsung maupun kepada penerbit2 terutama Gapura dan Melodi tahun"" sekitar itu telah di terima pula dari Kep. Djaw. PP & K. Sum. Teng. surat No. 10259 | IV | Perl.B| 55 dan Sum. Sel. |Kep. Din. PP & K. prop Sumsel No. 834 [E| VI) Ambon (Insp. S.R. No. 2995 | 5-1] D17 des. 55) Kalimantan (Djaw. Pen) Sulawesi (Acting Gubernur) Djateng. (Kep. Dn. PP & K) Djatim (Djaw. Pen) dll.","Pendapat kes

jang senafas, langsung
maupun kepade penerbit2,
‘Me

 
     
 
  
 

tant sekitar itu telah di-

terima pula dari Kep. Djaw.
PP & K Sum. Teng. surat
No. 10259/IV)Perl.B)55 dan
Sum. Sel. (Kep. Din. PP &
K prop. Sumsel, No. 8MJEI
VI) Ambon “(Insp. S.R. No.
2995/5-1)D1T des. 55) Kalk
mantan (Djaw. Pen.) Sul
si (Acting Gubernur) Dja
teng. (Kep. Dn. PP & K
DjaTim. (Djaw. Pen) dil."
